col_id,emp_id,emp_type,cost,schedule_pattern,in_final_mip,is_selected
0,0,TypeA,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1,0
1,0,TypeA,8000,000000000011111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1,0
2,1,TypeB,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1,0
3,1,TypeB,4000,000000000011110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1,0
4,2,TypeB,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1,0
5,2,TypeB,4000,000000000011110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1,0
6,3,TypeC,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1,0
7,3,TypeC,3900,000000000011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1,0
8,4,TypeC,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1,0
9,4,TypeC,3900,000000000011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1,0
10,0,TypeA,54100,001111111110000000000000000000011111111110000000000000111111111100000000000000111111111100000000000000000000000000000000000000011111111110000000000000000000000000000000,1,1
11,1,TypeB,40500,000000000000000000000000001111110000000000000000000000000000000000000000001111111100000000000000000000000111111100000000000000001111111000000000000000111111110000000000,1,1
12,2,TypeB,33400,000000000011111111000000000000000000011110000000000000000000000000011111110000000000111100000000000000000000000000000000000000000000000000000000111111110000000000000000,1,1
13,3,TypeC,22100,000000000000000000000011100000000000000000000000000000111100000000000000000000000000000000001110000000000001111000000000000000000000000000000000000000000000000111111000,1,1
14,4,TypeC,16200,000000000000000000000000000000000000000000000000001110000000000111000000000000000000000000000000011100000000000000000000111000000000000000000000000000000000000111000000,1,1
15,0,TypeA,41800,000000000111111111100000000000000000000000000000000000000000000000000000000000111111111100000000000000000000000000000000000000011111111110000000000000001111111111000000,1,0
16,1,TypeB,38100,000000000000111111110000001111110000000000000000000000000000000000000000001111111100000000000000000000000111111100000000000000001111111000000000000000000000000000000000,1,0
17,2,TypeB,33400,000000000011111111000000000000000000011110000000000000000000000000011111110000000000111100000000000000000000000000000000000000000000111111110000000000000000000000000000,1,0
18,3,TypeC,22100,000000000000000000000011100000000000000000000000000000111100000000000000000000000000000000001110000000000000000000000000000000000000111100000000000000000000000111111000,1,0
19,4,TypeC,16500,000000000000000000000000000000000000000000000000001110000000000000000000000000000000000000000000011100000000000000000000111000000000111000000000000000000000000111000000,1,0
20,0,TypeA,42100,000000000011111111110000000000000000000000000000000000000000000000000000000000111111111100000000000000000000000000000000000000011111111110000000000000001111111111000000,1,0
21,1,TypeB,38100,000000001111111100000000001111110000000000000000000000000000000000000000001111111100000000000000000000000111111100000000000000001111111000000000000000000000000000000000,1,0
22,2,TypeB,34600,000000000011111111000000000000000000000000000000000000000000000000011111110000000000111100000000000000000000000000000000000000000000111111110000000011110000000000000000,1,0
23,3,TypeC,21800,000000000000000000000011100000000000000000000000000000000000000000000000000000000000000000001110000000000000000000000000000000000000111100000000000011110000000111111000,1,0
24,4,TypeC,16500,000000000000111000000000000000000000000000000000001110000000000000000000000000000000000000000000011100000000000000000000111000000000000000000000000000000000000111000000,1,0
25,0,TypeA,42400,000000000111111111100000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111000000000000011111111110000000000011111111110000000000,1,0
26,1,TypeB,39900,000000000000111111110000000000000000000000000000000000000000000000000000001111111100000000000000000000000111111100000000000000001111111000000000000011111100000000000000,1,0
27,2,TypeB,34600,000000000011111111000000000000000000011110000000000000000000000000011111110000000000000000000000000000000000000000000000000000000000111111110000000011110000000000000000,1,0
28,3,TypeC,21800,000000000000000000000011100000000000000000000000000000111100000000000000000000000000000000001110000000000000000000000000000000000000111100000000000011111100000000000000,1,0
29,4,TypeC,17100,000000000000000000000000000000000000000000000000000000000000000111000000000000000000000000000000011100000000000000000000111000000000111000000000000000000000000111000000,1,0
30,0,TypeA,42700,000000000011111111110000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111000000000000011111111110000000000011111111110000000000,1,0
31,1,TypeB,39900,000000000000111111110000000000000000000000000000111111110000000000000000000000000000000000000000000000000111111100000000000000001111111000000000000011111100000000000000,1,0
32,2,TypeB,34600,000000000011111111000000000000000000011110000000111111100000000000000000000000000000000000000000000000000000000000000000000000000000111111110000000011110000000000000000,1,0
